"pokedex_number";"name";"type1";"type2";"generation";"percentage_male";"capture_rate";"is_legendary";"is_mythic";"is_ultra_beast";"height_m";"weight_kg";"base_total";"hp";"attack";"sp_attack";"defense";"sp_defense";"speed";"abilities";"against_bug";"against_dark";"against_dragon";"against_electric";"against_fairy";"against_fight";"against_fire";"against_flying";"against_ghost";"against_grass";"against_ground";"against_ice";"against_normal";"against_poison";"against_psychic";"against_rock";"against_steel";"against_water"
90;"Shellder";"water";"";1;50.0;190;0;0;0;0.3;4.0;305;30;65;45;100;25;40;"['Shell Armor', 'Skill Link', 'Overcoat']";1.0;1.0;1.0;2.0;1.0;1.0;0.5;1.0;1.0;2.0;1.0;0.5;1.0;1.0;1.0;1.0;0.5;0.5
91;"Cloyster";"water";"ice";1;50.0;60;0;0;0;1.5;132.5;525;50;95;85;180;45;70;"['Shell Armor', 'Skill Link', 'Overcoat']";1.0;1.0;1.0;2.0;1.0;2.0;1.0;1.0;1.0;2.0;1.0;0.25;1.0;1.0;1.0;2.0;1.0;0.5
92;"Gastly";"ghost";"poison";1;50.0;190;0;0;0;1.3;0.1;310;30;35;100;30;35;80;"['Levitate']";0.25;2.0;1.0;1.0;0.5;0.0;1.0;1.0;2.0;0.5;2.0;1.0;0.0;0.25;2.0;1.0;1.0;1.0
93;"Haunter";"ghost";"poison";1;50.0;90;0;0;0;1.6;0.1;405;45;50;115;45;55;95;"['Levitate']";0.25;2.0;1.0;1.0;0.5;0.0;1.0;1.0;2.0;0.5;2.0;1.0;0.0;0.25;2.0;1.0;1.0;1.0
94;"Gengar";"ghost";"poison";1;50.0;45;0;0;0;1.5;40.5;600;60;65;170;80;95;130;"['Cursed Body']";0.25;2.0;1.0;1.0;0.5;0.0;1.0;1.0;2.0;0.5;2.0;1.0;0.0;0.25;2.0;1.0;1.0;1.0
95;"Onix";"rock";"ground";1;50.0;45;0;0;0;8.8;210.0;385;35;45;30;160;45;70;"['Rock Head', 'Sturdy', 'Weak Armor']";1.0;1.0;1.0;0.0;1.0;2.0;0.5;0.5;1.0;4.0;2.0;2.0;0.5;0.25;1.0;0.5;2.0;4.0
96;"Drowzee";"psychic";"";1;50.0;190;0;0;0;1.0;32.4;328;60;48;43;45;90;42;"['Insomnia', 'Forewarn', 'Inner Focus']";2.0;2.0;1.0;1.0;1.0;0.5;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0;1.0;1.0
97;"Hypno";"psychic";"";1;50.0;75;0;0;0;1.6;75.6;483;85;73;73;70;115;67;"['Insomnia', 'Forewarn', 'Inner Focus']";2.0;2.0;1.0;1.0;1.0;0.5;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0;1.0;1.0
98;"Krabby";"water";"";1;50.0;225;0;0;0;0.4;6.5;325;30;105;25;90;25;50;"['Hyper Cutter', 'Shell Armor', 'Sheer Force']";1.0;1.0;1.0;2.0;1.0;1.0;0.5;1.0;1.0;2.0;1.0;0.5;1.0;1.0;1.0;1.0;0.5;0.5
99;"Kingler";"water";"";1;50.0;60;0;0;0;1.3;60.0;475;55;130;50;115;50;75;"['Hyper Cutter', 'Shell Armor', 'Sheer Force']";1.0;1.0;1.0;2.0;1.0;1.0;0.5;1.0;1.0;2.0;1.0;0.5;1.0;1.0;1.0;1.0;0.5;0.5
100;"Voltorb";"electric";"";1;0.0;190;0;0;0;0.5;10.4;330;40;30;55;50;55;100;"['Soundproof', 'Static', 'Aftermath']";1.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0
101;"Electrode";"electric";"";1;0.0;60;0;0;0;1.2;66.6;490;60;50;80;70;80;150;"['Soundproof', 'Static', 'Aftermath']";1.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0
102;"Exeggcute";"grass";"psychic";1;50.0;90;0;0;0;0.4;2.5;325;60;40;60;80;45;40;"['Chlorophyll', 'Harvest']";4.0;2.0;1.0;0.5;1.0;0.5;2.0;2.0;2.0;0.5;0.5;2.0;1.0;2.0;0.5;1.0;1.0;0.5
103;"Exeggutor";"grass";"psychic";1;50.0;45;0;0;0;2.0;120.0;530;95;105;125;85;75;45;"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']";4.0;2.0;1.0;0.5;1.0;0.5;2.0;2.0;2.0;0.5;0.5;2.0;1.0;2.0;0.5;1.0;1.0;0.5
104;"Cubone";"ground";"";1;50.0;190;0;0;0;0.4;6.5;320;50;50;40;95;50;35;"['Rock Head', 'Lightningrod', 'Battle Armor']";1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;2.0;1.0;0.5;1.0;0.5;1.0;2.0
105;"Marowak";"ground";"fire";1;50.0;75;0;0;0;1.0;45.0;425;60;80;50;110;80;45;"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']";1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;2.0;1.0;0.5;1.0;0.5;1.0;2.0
106;"Hitmonlee";"fighting";"";1;100.0;45;0;0;0;1.5;49.8;455;50;120;35;53;110;87;"['Limber', 'Reckless', 'Unburden']";0.5;0.5;1.0;1.0;2.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;0.5;1.0;1.0
107;"Hitmonchan";"fighting";"";1;100.0;45;0;0;0;1.4;50.2;455;50;105;35;79;110;76;"['Keen Eye', 'Iron Fist', 'Inner Focus']";0.5;0.5;1.0;1.0;2.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;0.5;1.0;1.0
108;"Lickitung";"normal";"";1;50.0;45;0;0;0;1.2;65.5;385;90;55;60;75;75;30;"['Own Tempo', 'Oblivious', 'Cloud Nine']";1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
109;"Koffing";"poison";"";1;50.0;190;0;0;0;0.6;1.0;340;40;65;60;95;45;35;"['Levitate']";0.5;1.0;1.0;1.0;0.5;0.5;1.0;1.0;1.0;0.5;2.0;1.0;1.0;0.5;2.0;1.0;1.0;1.0
110;"Weezing";"poison";"";1;50.0;60;0;0;0;1.2;9.5;490;65;90;85;120;70;60;"['Levitate']";0.5;1.0;1.0;1.0;0.5;0.5;1.0;1.0;1.0;0.5;2.0;1.0;1.0;0.5;2.0;1.0;1.0;1.0
111;"Rhyhorn";"ground";"rock";1;50.0;120;0;0;0;1.0;115.0;345;80;85;30;95;30;25;"['Lightningrod', 'Rock Head', 'Reckless']";1.0;1.0;1.0;0.0;1.0;2.0;0.5;0.5;1.0;4.0;2.0;2.0;0.5;0.25;1.0;0.5;2.0;4.0
112;"Rhydon";"ground";"rock";1;50.0;60;0;0;0;1.9;120.0;485;105;130;45;120;45;40;"['Lightningrod', 'Rock Head', 'Reckless']";1.0;1.0;1.0;0.0;1.0;2.0;0.5;0.5;1.0;4.0;2.0;2.0;0.5;0.25;1.0;0.5;2.0;4.0
113;"Chansey";"normal";"";1;0.0;30;0;0;0;1.1;34.6;450;250;5;35;5;105;50;"['Natural Cure', 'Serene Grace', 'Healer']";1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
114;"Tangela";"grass";"";1;50.0;45;0;0;0;1.0;35.0;435;65;55;100;115;40;60;"['Chlorophyll', 'Leaf Guard', 'Regenerator']";2.0;1.0;1.0;0.5;1.0;1.0;2.0;2.0;1.0;0.5;0.5;2.0;1.0;2.0;1.0;1.0;1.0;0.5
115;"Kangaskhan";"normal";"";1;0.0;45;0;0;0;2.2;80.0;590;105;125;60;100;100;100;"['Early Bird', 'Scrappy', 'Inner Focus']";1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
116;"Horsea";"water";"";1;50.0;225;0;0;0;0.4;8.0;295;30;40;70;70;25;60;"['Swift Swim', 'Sniper', 'Damp']";1.0;1.0;1.0;2.0;1.0;1.0;0.5;1.0;1.0;2.0;1.0;0.5;1.0;1.0;1.0;1.0;0.5;0.5
117;"Seadra";"water";"";1;50.0;75;0;0;0;1.2;25.0;440;55;65;95;95;45;85;"['Poison Point', 'Sniper', 'Damp']";1.0;1.0;1.0;2.0;1.0;1.0;0.5;1.0;1.0;2.0;1.0;0.5;1.0;1.0;1.0;1.0;0.5;0.5
118;"Goldeen";"water";"";1;50.0;225;0;0;0;0.6;15.0;320;45;67;35;60;50;63;"['Swift Swim', 'Water Veil', 'Lightningrod']";1.0;1.0;1.0;2.0;1.0;1.0;0.5;1.0;1.0;2.0;1.0;0.5;1.0;1.0;1.0;1.0;0.5;0.5
119;"Seaking";"water";"";1;50.0;60;0;0;0;1.3;39.0;450;80;92;65;65;80;68;"['Swift Swim', 'Water Veil', 'Lightningrod']";1.0;1.0;1.0;2.0;1.0;1.0;0.5;1.0;1.0;2.0;1.0;0.5;1.0;1.0;1.0;1.0;0.5;0.5
120;"Staryu";"water";"";1;0.0;225;0;0;0;0.8;34.5;340;30;45;70;55;55;85;"['Illuminate', 'Natural Cure', 'Analytic']";1.0;1.0;1.0;2.0;1.0;1.0;0.5;1.0;1.0;2.0;1.0;0.5;1.0;1.0;1.0;1.0;0.5;0.5
121;"Starmie";"water";"psychic";1;0.0;60;0;0;0;1.1;80.0;520;60;75;100;85;85;115;"['Illuminate', 'Natural Cure', 'Analytic']";2.0;2.0;1.0;2.0;1.0;0.5;0.5;1.0;2.0;2.0;1.0;0.5;1.0;1.0;0.5;1.0;0.5;0.5
122;"Mr. Mime";"psychic";"fairy";1;50.0;45;0;0;0;1.3;54.5;460;40;45;100;65;120;90;"['Soundproof', 'Filter', 'Technician']";1.0;1.0;0.0;1.0;1.0;0.25;1.0;1.0;2.0;1.0;1.0;1.0;1.0;2.0;0.5;1.0;2.0;1.0
123;"Scyther";"bug";"flying";1;50.0;45;0;0;0;1.5;56.0;500;70;110;55;80;80;105;"['Swarm', 'Technician', 'Steadfast']";0.5;1.0;1.0;2.0;1.0;0.25;2.0;2.0;1.0;0.25;0.0;2.0;1.0;1.0;1.0;4.0;1.0;1.0
124;"Jynx";"ice";"psychic";1;0.0;45;0;0;0;1.4;40.6;455;65;50;115;35;95;95;"['Oblivious', 'Forewarn', 'Dry Skin']";2.0;2.0;1.0;1.0;1.0;1.0;2.0;1.0;2.0;1.0;1.0;0.5;1.0;1.0;0.5;2.0;2.0;1.0
125;"Electabuzz";"electric";"";1;75.4;45;0;0;0;1.1;30.0;490;65;83;95;57;85;105;"['Static', 'Vital Spirit']";1.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0
126;"Magmar";"fire";"";1;75.4;45;0;0;0;1.3;44.5;495;65;95;100;57;85;93;"['Flame Body', 'Vital Spirit']";0.5;1.0;1.0;1.0;0.5;1.0;0.5;1.0;1.0;0.5;2.0;0.5;1.0;1.0;1.0;2.0;0.5;2.0
127;"Pinsir";"bug";"";1;50.0;45;0;0;0;1.5;55.0;600;65;155;65;120;90;105;"['Hyper Cutter', 'Mold Breaker', 'Moxie']";1.0;1.0;1.0;1.0;1.0;0.5;2.0;2.0;1.0;0.5;0.5;1.0;1.0;1.0;1.0;2.0;1.0;1.0
128;"Tauros";"normal";"";1;100.0;45;0;0;0;1.4;88.4;490;75;100;40;95;70;110;"['Intimidate', 'Anger Point', 'Sheer Force']";1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
129;"Magikarp";"water";"";1;50.0;255;0;0;0;0.9;10.0;200;20;10;15;55;20;80;"['Swift Swim', 'Rattled']";1.0;1.0;1.0;2.0;1.0;1.0;0.5;1.0;1.0;2.0;1.0;0.5;1.0;1.0;1.0;1.0;0.5;0.5
130;"Gyarados";"water";"flying";1;50.0;45;0;0;0;6.5;235.0;640;95;155;70;109;130;81;"['Intimidate', 'Moxie']";0.5;1.0;1.0;4.0;1.0;0.5;0.5;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;2.0;0.5;0.5
131;"Lapras";"water";"ice";1;50.0;45;0;0;0;2.5;220.0;535;130;85;85;80;95;60;"['Water Absorb', 'Shell Armor', 'Hydration']";1.0;1.0;1.0;2.0;1.0;2.0;1.0;1.0;1.0;2.0;1.0;0.25;1.0;1.0;1.0;2.0;1.0;0.5
132;"Ditto";"normal";"";1;0.0;35;0;0;0;0.3;4.0;288;48;48;48;48;48;48;"['Limber', 'Imposter']";1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
133;"Eevee";"normal";"";1;88.1;45;0;0;0;0.3;6.5;325;55;55;45;50;65;55;"['Run Away', 'Adaptability', 'Anticipation']";1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
134;"Vaporeon";"water";"";1;88.1;45;0;0;0;1.0;29.0;525;130;65;110;60;95;65;"['Water Absorb', 'Hydration']";1.0;1.0;1.0;2.0;1.0;1.0;0.5;1.0;1.0;2.0;1.0;0.5;1.0;1.0;1.0;1.0;0.5;0.5
135;"Jolteon";"electric";"";1;88.1;45;0;0;0;0.8;24.5;525;65;65;110;60;95;130;"['Volt Absorb', 'Quick Feet']";1.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0
136;"Flareon";"fire";"";1;88.1;45;0;0;0;0.9;25.0;525;65;130;95;60;110;65;"['Flash Fire', 'Guts']";0.5;1.0;1.0;1.0;0.5;1.0;0.5;1.0;1.0;0.5;2.0;0.5;1.0;1.0;1.0;2.0;0.5;2.0
137;"Porygon";"normal";"";1;0.0;45;0;0;0;0.8;36.5;395;65;60;85;70;75;40;"['Trace', 'Download', 'Analytic']";1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
138;"Omanyte";"rock";"water";1;88.1;45;0;0;0;0.4;7.5;355;35;40;90;100;55;35;"['Swift Swim', 'Shell Armor', 'Weak Armor']";1.0;1.0;1.0;2.0;1.0;2.0;0.25;0.5;1.0;4.0;2.0;0.5;0.5;0.5;1.0;1.0;1.0;1.0
139;"Omastar";"rock";"water";1;88.1;45;0;0;0;1.0;35.0;495;70;60;115;125;70;55;"['Swift Swim', 'Shell Armor', 'Weak Armor']";1.0;1.0;1.0;2.0;1.0;2.0;0.25;0.5;1.0;4.0;2.0;0.5;0.5;0.5;1.0;1.0;1.0;1.0
140;"Kabuto";"rock";"water";1;88.1;45;0;0;0;0.5;11.5;355;30;80;55;90;45;55;"['Swift Swim', 'Battle Armor', 'Weak Armor']";1.0;1.0;1.0;2.0;1.0;2.0;0.25;0.5;1.0;4.0;2.0;0.5;0.5;0.5;1.0;1.0;1.0;1.0
141;"Kabutops";"rock";"water";1;88.1;45;0;0;0;1.3;40.5;495;60;115;65;105;70;80;"['Swift Swim', 'Battle Armor', 'Weak Armor']";1.0;1.0;1.0;2.0;1.0;2.0;0.25;0.5;1.0;4.0;2.0;0.5;0.5;0.5;1.0;1.0;1.0;1.0
142;"Aerodactyl";"rock";"flying";1;88.1;45;0;0;0;1.8;59.0;615;80;135;70;85;95;150;"['Rock Head', 'Pressure', 'Unnerve']";0.5;1.0;1.0;2.0;1.0;1.0;0.5;0.5;1.0;1.0;0.0;2.0;0.5;0.5;1.0;2.0;2.0;2.0
143;"Snorlax";"normal";"";1;88.1;25;0;0;0;2.1;460.0;540;160;110;65;65;110;30;"['Immunity', 'Thick Fat', 'Gluttony']";1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
144;"Articuno";"ice";"flying";1;0.0;3;1;0;0;1.7;55.4;580;90;85;95;100;125;85;"['Pressure', 'Snow Cloak']";0.5;1.0;1.0;2.0;1.0;1.0;2.0;1.0;1.0;0.5;0.0;1.0;1.0;1.0;1.0;4.0;2.0;1.0
145;"Zapdos";"electric";"flying";1;0.0;3;1;0;0;1.6;52.6;580;90;90;125;85;90;100;"['Pressure', 'Static']";0.5;1.0;1.0;1.0;1.0;0.5;1.0;0.5;1.0;0.5;0.0;2.0;1.0;1.0;1.0;2.0;0.5;1.0
146;"Moltres";"fire";"flying";1;0.0;3;1;0;0;2.0;60.0;580;90;100;125;90;85;90;"['Pressure', 'Flame Body']";0.25;1.0;1.0;2.0;0.5;0.5;0.5;1.0;1.0;0.25;0.0;1.0;1.0;1.0;1.0;4.0;0.5;2.0
147;"Dratini";"dragon";"";1;50.0;45;0;0;0;1.8;3.3;300;41;64;50;45;50;50;"['Shed Skin', 'Marvel Scale']";1.0;1.0;2.0;0.5;2.0;1.0;0.5;1.0;1.0;0.5;1.0;2.0;1.0;1.0;1.0;1.0;1.0;0.5
148;"Dragonair";"dragon";"";1;50.0;45;0;0;0;4.0;16.5;420;61;84;70;65;70;70;"['Shed Skin', 'Marvel Scale']";1.0;1.0;2.0;0.5;2.0;1.0;0.5;1.0;1.0;0.5;1.0;2.0;1.0;1.0;1.0;1.0;1.0;0.5
149;"Dragonite";"dragon";"flying";1;50.0;45;0;0;0;2.2;210.0;600;91;134;100;95;100;80;"['Inner Focus', 'Multiscale']";0.5;1.0;2.0;1.0;2.0;0.5;0.5;1.0;1.0;0.25;0.0;4.0;1.0;1.0;1.0;2.0;1.0;0.5
150;"Mewtwo";"psychic";"";1;0.0;3;1;0;0;2.0;122.0;780;106;150;194;70;120;140;"['Pressure', 'Unnerve']";2.0;2.0;1.0;1.0;1.0;0.5;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0;1.0;1.0
151;"Mew";"psychic";"";1;0.0;45;0;1;0;0.4;4.0;600;100;100;100;100;100;100;"['Synchronize']";2.0;2.0;1.0;1.0;1.0;0.5;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0;1.0;1.0
152;"Chikorita";"grass";"";2;88.1;45;0;0;0;0.9;6.4;318;45;49;49;65;65;45;"['Overgrow', 'Leaf Guard']";2.0;1.0;1.0;0.5;1.0;1.0;2.0;2.0;1.0;0.5;0.5;2.0;1.0;2.0;1.0;1.0;1.0;0.5
153;"Bayleef";"grass";"";2;88.1;45;0;0;0;1.2;15.8;405;60;62;63;80;80;60;"['Overgrow', 'Leaf Guard']";2.0;1.0;1.0;0.5;1.0;1.0;2.0;2.0;1.0;0.5;0.5;2.0;1.0;2.0;1.0;1.0;1.0;0.5
154;"Meganium";"grass";"";2;88.1;45;0;0;0;1.8;100.5;525;80;82;83;100;100;80;"['Overgrow', 'Leaf Guard']";2.0;1.0;1.0;0.5;1.0;1.0;2.0;2.0;1.0;0.5;0.5;2.0;1.0;2.0;1.0;1.0;1.0;0.5
155;"Cyndaquil";"fire";"";2;88.1;45;0;0;0;0.5;7.9;309;39;52;60;43;50;65;"['Blaze', 'Flash Fire']";0.5;1.0;1.0;1.0;0.5;1.0;0.5;1.0;1.0;0.5;2.0;0.5;1.0;1.0;1.0;2.0;0.5;2.0
156;"Quilava";"fire";"";2;88.1;45;0;0;0;0.9;19.0;405;58;64;80;58;65;80;"['Blaze', 'Flash Fire']";0.5;1.0;1.0;1.0;0.5;1.0;0.5;1.0;1.0;0.5;2.0;0.5;1.0;1.0;1.0;2.0;0.5;2.0
157;"Typhlosion";"fire";"";2;88.1;45;0;0;0;1.7;79.5;534;78;84;109;78;85;100;"['Blaze', 'Flash Fire']";0.5;1.0;1.0;1.0;0.5;1.0;0.5;1.0;1.0;0.5;2.0;0.5;1.0;1.0;1.0;2.0;0.5;2.0
158;"Totodile";"water";"";2;88.1;45;0;0;0;0.6;9.5;314;50;65;44;64;48;43;"['Torrent', 'Sheer Force']";1.0;1.0;1.0;2.0;1.0;1.0;0.5;1.0;1.0;2.0;1.0;0.5;1.0;1.0;1.0;1.0;0.5;0.5
159;"Croconaw";"water";"";2;88.1;45;0;0;0;1.1;25.0;405;65;80;59;80;63;58;"['Torrent', 'Sheer Force']";1.0;1.0;1.0;2.0;1.0;1.0;0.5;1.0;1.0;2.0;1.0;0.5;1.0;1.0;1.0;1.0;0.5;0.5
160;"Feraligatr";"water";"";2;88.1;45;0;0;0;2.3;88.8;530;85;105;79;100;83;78;"['Torrent', 'Sheer Force']";1.0;1.0;1.0;2.0;1.0;1.0;0.5;1.0;1.0;2.0;1.0;0.5;1.0;1.0;1.0;1.0;0.5;0.5
161;"Sentret";"normal";"";2;50.0;255;0;0;0;0.8;6.0;215;35;46;35;34;45;20;"['Run Away', 'Keen Eye', 'Frisk']";1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
162;"Furret";"normal";"";2;50.0;90;0;0;0;1.8;32.5;415;85;76;45;64;55;90;"['Run Away', 'Keen Eye', 'Frisk']";1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
163;"Hoothoot";"normal";"flying";2;50.0;255;0;0;0;0.7;21.2;262;60;30;36;30;56;50;"['Insomnia', 'Keen Eye', 'Tinted Lens']";0.5;1.0;1.0;2.0;1.0;1.0;1.0;1.0;0.0;0.5;0.0;2.0;1.0;1.0;1.0;2.0;1.0;1.0
164;"Noctowl";"normal";"flying";2;50.0;90;0;0;0;1.6;40.8;452;100;50;86;50;96;70;"['Insomnia', 'Keen Eye', 'Tinted Lens']";0.5;1.0;1.0;2.0;1.0;1.0;1.0;1.0;0.0;0.5;0.0;2.0;1.0;1.0;1.0;2.0;1.0;1.0
165;"Ledyba";"bug";"flying";2;50.0;255;0;0;0;1.0;10.8;265;40;20;40;30;80;55;"['Swarm', 'Early Bird', 'Rattled']";0.5;1.0;1.0;2.0;1.0;0.25;2.0;2.0;1.0;0.25;0.0;2.0;1.0;1.0;1.0;4.0;1.0;1.0
166;"Ledian";"bug";"flying";2;50.0;90;0;0;0;1.4;35.6;390;55;35;55;50;110;85;"['Swarm', 'Early Bird', 'Iron Fist']";0.5;1.0;1.0;2.0;1.0;0.25;2.0;2.0;1.0;0.25;0.0;2.0;1.0;1.0;1.0;4.0;1.0;1.0
167;"Spinarak";"bug";"poison";2;50.0;255;0;0;0;0.5;8.5;250;40;60;40;40;40;30;"['Swarm', 'Insomnia', 'Sniper']";0.5;1.0;1.0;1.0;0.5;0.25;2.0;2.0;1.0;0.25;1.0;1.0;1.0;0.5;2.0;2.0;1.0;1.0
168;"Ariados";"bug";"poison";2;50.0;90;0;0;0;1.1;33.5;400;70;90;60;70;70;40;"['Swarm', 'Insomnia', 'Sniper']";0.5;1.0;1.0;1.0;0.5;0.25;2.0;2.0;1.0;0.25;1.0;1.0;1.0;0.5;2.0;2.0;1.0;1.0
169;"Crobat";"poison";"flying";2;50.0;90;0;0;0;1.8;75.0;535;85;90;70;80;80;130;"['Inner Focus', 'Infiltrator']";0.25;1.0;1.0;2.0;0.5;0.25;1.0;1.0;1.0;0.25;0.0;2.0;1.0;0.5;2.0;2.0;1.0;1.0
170;"Chinchou";"water";"electric";2;50.0;190;0;0;0;0.5;12.0;330;75;38;56;38;56;67;"['Volt Absorb', 'Illuminate', 'Water Absorb']";1.0;1.0;1.0;1.0;1.0;1.0;0.5;0.5;1.0;2.0;2.0;0.5;1.0;1.0;1.0;1.0;0.25;0.5
171;"Lanturn";"water";"electric";2;50.0;75;0;0;0;1.2;22.5;460;125;58;76;58;76;67;"['Volt Absorb', 'Illuminate', 'Water Absorb']";1.0;1.0;1.0;1.0;1.0;1.0;0.5;0.5;1.0;2.0;2.0;0.5;1.0;1.0;1.0;1.0;0.25;0.5
172;"Pichu";"electric";"";2;50.0;190;0;0;0;0.3;2.0;205;20;40;35;15;35;60;"['Static', 'Lightningrod']";1.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0
173;"Cleffa";"fairy";"";2;24.6;150;0;0;0;0.3;3.0;218;50;25;45;28;55;15;"['Cute Charm', 'Magic Guard', 'Friend Guard']";0.5;0.5;0.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;2.0;1.0
174;"Igglybuff";"normal";"fairy";2;24.6;170;0;0;0;0.3;1.0;210;90;30;40;15;20;15;"['Cute Charm', 'Competitive', 'Friend Guard']";0.5;0.5;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;2.0;1.0
175;"Togepi";"fairy";"";2;88.1;190;0;0;0;0.3;1.5;245;35;20;40;65;65;20;"['Hustle', 'Serene Grace', 'Super Luck']";0.5;0.5;0.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;2.0;1.0
176;"Togetic";"fairy";"flying";2;88.1;75;0;0;0;0.6;3.2;405;55;40;80;85;105;40;"['Hustle', 'Serene Grace', 'Super Luck']";0.25;0.5;0.0;2.0;1.0;0.25;1.0;1.0;1.0;0.5;0.0;2.0;1.0;2.0;1.0;2.0;2.0;1.0
177;"Natu";"psychic";"flying";2;50.0;190;0;0;0;0.2;2.0;320;40;50;70;45;45;70;"['Synchronize', 'Early Bird', 'Magic Bounce']";1.0;2.0;1.0;2.0;1.0;0.25;1.0;1.0;2.0;0.5;0.0;2.0;1.0;1.0;0.5;2.0;1.0;1.0
178;"Xatu";"psychic";"flying";2;50.0;75;0;0;0;1.5;15.0;470;65;75;95;70;70;95;"['Synchronize', 'Early Bird', 'Magic Bounce']";1.0;2.0;1.0;2.0;1.0;0.25;1.0;1.0;2.0;0.5;0.0;2.0;1.0;1.0;0.5;2.0;1.0;1.0
179;"Mareep";"electric";"";2;50.0;235;0;0;0;0.6;7.8;280;55;40;65;40;45;35;"['Static', 'Plus']";1.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0
180;"Flaaffy";"electric";"";2;50.0;120;0;0;0;0.8;13.3;365;70;55;80;55;60;45;"['Static', 'Plus']";1.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0
181;"Ampharos";"electric";"";2;50.0;45;0;0;0;1.4;61.5;610;90;95;165;105;110;45;"['Static', 'Plus']";1.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0
182;"Bellossom";"grass";"";2;50.0;45;0;0;0;0.4;5.8;490;75;80;90;95;100;50;"['Chlorophyll', 'Healer']";2.0;1.0;1.0;0.5;1.0;1.0;2.0;2.0;1.0;0.5;0.5;2.0;1.0;2.0;1.0;1.0;1.0;0.5
183;"Marill";"water";"fairy";2;50.0;190;0;0;0;0.4;8.5;250;70;20;20;50;50;40;"['Thick Fat', 'Huge Power', 'Sap Sipper']";0.5;0.5;0.0;2.0;1.0;0.5;0.5;1.0;1.0;2.0;1.0;0.5;1.0;2.0;1.0;1.0;1.0;0.5
